nclusters,silhouettescore
9.0,0.12157356220073472
2.0,0.11541451787577317
10.0,0.11152081187977812
8.0,0.09494697036056816
11.0,0.09300902794637676
7.0,0.0886568872704579
6.0,0.08585407807620403
12.0,0.08162404457580703
13.0,0.07900207223429033
19.0,0.07589516048410844
3.0,0.07486002107440917
28.0,0.07195954113962952
5.0,0.07164693151635904
20.0,0.07076119702694816
27.0,0.07032145427647876
30.0,0.06967112763230202
29.0,0.06962621634570736
18.0,0.06862710510350828
17.0,0.06849222768308344
31.0,0.06796981005379234
15.0,0.06702014420634553
16.0,0.06695615254657217
14.0,0.06573211959005794
